"","IND","VAR","COU","PAR","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue","Total","Desc","Level","L1","L2","L3","L4","L5","N1","N2","N3","N4","N5"
"1","D01T02","EXGR_DCO2","LUX","WLD","P1Y","TONNE","6","2018",0.046,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"2","D01T02","EXGR_DCO2","DNK","WLD","P1Y","TONNE","6","2018",0.777,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"3","D01T02","EXGR_DCO2","DEU","WLD","P1Y","TONNE","6","2018",1.852,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"4","D01T02","EXGR_DCO2","GRC","WLD","P1Y","TONNE","6","2018",0.419,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"5","D01T02","EXGR_DCO2","CZE","WLD","P1Y","TONNE","6","2018",0.555,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"6","D01T02","EXGR_DCO2","USA","WLD","P1Y","TONNE","6","2018",13.865,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"7","D01T02","EXGR_DCO2","PER","WLD","P1Y","TONNE","6","2018",0.045,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"8","D01T02","EXGR_DCO2","SWE","WLD","P1Y","TONNE","6","2018",0.196,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"9","D01T02","EXGR_DCO2","MMR","WLD","P1Y","TONNE","6","2018",0.684,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"10","D01T02","EXGR_DCO2","ITA","WLD","P1Y","TONNE","6","2018",1.313,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"11","D01T02","EXGR_DCO2","HRV","WLD","P1Y","TONNE","6","2018",0.165,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"12","D01T02","EXGR_DCO2","SAU","WLD","P1Y","TONNE","6","2018",0.178,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"13","D01T02","EXGR_DCO2","MEX","WLD","P1Y","TONNE","6","2018",2.754,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"14","D01T02","EXGR_DCO2","ZAF","WLD","P1Y","TONNE","6","2018",2.52,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"15","D01T02","EXGR_DCO2","HUN","WLD","P1Y","TONNE","6","2018",0.773,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"16","D01T02","EXGR_DCO2","BRA","WLD","P1Y","TONNE","6","2018",11.865,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"17","D01T02","EXGR_DCO2","IDN","WLD","P1Y","TONNE","6","2018",0.677,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"18","D01T02","EXGR_DCO2","FRA","WLD","P1Y","TONNE","6","2018",2.603,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"19","D01T02","EXGR_DCO2","RUS","WLD","P1Y","TONNE","6","2018",8.139,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"20","D01T02","EXGR_DCO2","LTU","WLD","P1Y","TONNE","6","2018",0.137,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"21","D01T02","EXGR_DCO2","ISR","WLD","P1Y","TONNE","6","2018",0.453,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"22","D01T02","EXGR_DCO2","AUT","WLD","P1Y","TONNE","6","2018",0.257,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"23","D01T02","EXGR_DCO2","KAZ","WLD","P1Y","TONNE","6","2018",0.582,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"24","D01T02","EXGR_DCO2","BEL","WLD","P1Y","TONNE","6","2018",0.712,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"25","D01T02","EXGR_DCO2","SGP","WLD","P1Y","TONNE","6","2018",0.014,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"26","D01T02","EXGR_DCO2","CHE","WLD","P1Y","TONNE","6","2018",0.017,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"27","D01T02","EXGR_DCO2","JPN","WLD","P1Y","TONNE","6","2018",0.115,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"28","D01T02","EXGR_DCO2","TUR","WLD","P1Y","TONNE","6","2018",1.872,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"29","D01T02","EXGR_DCO2","LVA","WLD","P1Y","TONNE","6","2018",0.245,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"30","D01T02","EXGR_DCO2","KOR","WLD","P1Y","TONNE","6","2018",0.127,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"31","D01T02","EXGR_DCO2","AUS","WLD","P1Y","TONNE","6","2018",3.44,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"32","D01T02","EXGR_DCO2","ISL","WLD","P1Y","TONNE","6","2018",0.005,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"33","D01T02","EXGR_DCO2","NZL","WLD","P1Y","TONNE","6","2018",0.527,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"34","D01T02","EXGR_DCO2","HKG","WLD","P1Y","TONNE","6","2018",0,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"35","D01T02","EXGR_DCO2","CRI","WLD","P1Y","TONNE","6","2018",0.24,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"36","D01T02","EXGR_DCO2","CHN","WLD","P1Y","TONNE","6","2018",6.353,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"37","D01T02","EXGR_DCO2","VNM","WLD","P1Y","TONNE","6","2018",4.666,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"38","D01T02","EXGR_DCO2","NOR","WLD","P1Y","TONNE","6","2018",0.05,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"39","D01T02","EXGR_DCO2","POL","WLD","P1Y","TONNE","6","2018",2.101,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"40","D01T02","EXGR_DCO2","LAO","WLD","P1Y","TONNE","6","2018",0.095,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"41","D01T02","EXGR_DCO2","CAN","WLD","P1Y","TONNE","6","2018",10.601,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"42","D01T02","EXGR_DCO2","MYS","WLD","P1Y","TONNE","6","2018",0.334,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"43","D01T02","EXGR_DCO2","NLD","WLD","P1Y","TONNE","6","2018",4.609,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"44","D01T02","EXGR_DCO2","TWN","WLD","P1Y","TONNE","6","2018",0.046,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"45","D01T02","EXGR_DCO2","GBR","WLD","P1Y","TONNE","6","2018",0.409,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
"46","D01T02","EXGR_DCO2","FIN","WLD","P1Y","TONNE","6","2018",0.158,"    D01T02: Agriculture, hunting, forestry","Agriculture, hunting, forestry",3,"DTOTAL","D01T03","D01T02","","","TOTAL","Agriculture, hunting, forestry and fishing","Agriculture, hunting, forestry","",""
