"","COU","AUS","AUT","BEL","CAN","CHL","COL","CRI","CZE","DNK","EST","FIN","FRA","DEU","GRC","HUN","ISL","IRL","ISR","ITA","JPN","KOR","LVA","LTU","LUX","MEX","NLD","NZL","NOR","POL","PRT","SVK","SVN","ESP","SWE","CHE","TUR","GBR","USA","ARG","BRA","BRN","BGR","KHM","CHN","HRV","CYP","HKG","IND","IDN","KAZ","LAO","MYS","MLT","MAR","PER","PHL","ROU","RUS","SAU","SGP","ZAF","TWN","THA","TUN","VNM","MMR"
"1","AUS",287.762,0.215,0.295,1.603,0.37,0.092,0.011,0.202,0.294,0.106,0.187,0.973,2.32,0.235,0.106,0.016,0.298,0.155,1.111,5.429,4.223,0.013,0.021,0.022,0.787,0.641,1.817,0.28,0.528,0.105,0.081,0.026,0.651,0.222,0.235,0.682,1.547,8.032,0.288,0.549,0.24,0.078,0.203,43.381,0.028,0.012,0.548,7.286,2.959,0.301,0.257,4.098,0.016,0.061,0.118,0.5,0.083,2.496,0.791,3.096,2.142,2.732,5.842,0.03,3.241,0.107
"2","AUT",0.165,37.592,0.378,0.31,0.078,0.027,0.005,1.555,0.174,0.055,0.154,0.889,7.813,0.245,1.086,0.013,0.199,0.051,1.717,0.534,0.527,0.032,0.065,0.066,0.147,0.811,0.02,0.153,2.247,0.153,0.906,0.415,0.677,0.187,0.416,0.896,0.508,1.793,0.055,0.239,0.003,0.321,0.019,6.682,0.336,0.018,0.07,1.479,0.225,1.554,0.02,0.306,0.041,0.055,0.029,0.066,0.546,3.858,0.173,0.261,0.518,0.402,0.44,0.051,0.369,0.038
"3","BEL",0.303,0.367,58.368,0.64,0.115,0.074,0.023,0.731,0.523,0.072,0.223,4.138,4.438,0.257,0.905,0.05,0.677,0.128,1.308,0.966,0.603,0.031,0.061,0.321,0.403,7.277,0.034,0.811,1.79,0.558,0.358,0.07,1.695,0.28,0.274,1.281,1.822,3.495,0.113,0.433,0.005,0.266,0.021,8.085,0.155,0.016,0.208,4.355,0.337,0.321,0.024,0.352,0.015,0.197,0.041,0.111,0.547,4.829,0.549,0.553,1.071,0.531,0.469,0.12,0.507,0.041
"4","CAN",1.088,0.254,0.527,369.546,0.562,0.325,0.055,0.276,0.326,0.104,0.205,1.388,2.801,0.473,0.146,0.069,0.428,0.203,1.228,3.152,3.64,0.018,0.039,0.036,6.014,0.924,0.146,0.384,0.766,0.206,0.119,0.035,0.841,0.215,0.282,1.116,1.649,56.831,0.325,1.851,0.017,0.123,0.226,42.173,0.048,0.008,0.668,6.465,1.105,0.585,0.069,1.32,0.022,0.17,0.269,0.47,0.174,4.153,0.664,1.624,1.573,2.629,1.376,0.076,2.037,0.05
"5","CHL",0.249,0.05,0.077,0.73,61.44,0.408,0.007,0.043,0.138,0.006,0.056,0.273,0.686,0.067,0.021,0.003,0.035,0.035,0.235,0.789,0.871,0.003,0.004,0.006,0.635,0.133,0.027,0.057,0.133,0.051,0.02,0.006,0.435,0.051,0.04,0.257,0.171,3.825,1.359,1.933,0.003,0.017,0.008,12.887,0.005,0.001,0.042,1.489,0.188,0.071,0.019,0.207,0.009,0.014,0.347,0.034,0.027,0.627,0.104,0.181,0.298,0.317,0.4,0.008,0.482,0.01
"6","COL",0.164,0.036,0.074,0.728,0.255,57.318,0.012,0.036,0.115,0.007,0.09,0.248,0.588,0.07,0.019,0.004,0.062,0.04,0.194,0.486,0.55,0.002,0.005,0.009,1.341,0.195,0.008,0.044,0.09,0.036,0.018,0.004,0.361,0.027,0.045,0.32,0.263,4.987,0.293,1.029,0.003,0.022,0.008,8.73,0.003,0.003,0.051,1.387,0.224,0.072,0.014,0.2,0.003,0.034,0.235,0.035,0.042,0.869,0.141,0.311,0.184,0.403,0.291,0.015,0.282,0.007
"7","FRA",1.116,1.159,4.787,2.837,0.528,0.281,0.043,1.879,0.672,0.148,0.663,233.204,14.514,0.86,0.867,0.121,1.709,0.334,6.944,3.081,2.758,0.074,0.165,0.474,1.18,5.301,0.117,1.065,5.257,1.907,0.858,0.203,11.136,0.744,1.326,4.065,4.681,11.839,0.365,1.59,0.026,0.666,0.163,40.214,0.159,0.028,0.538,10.132,1.482,2.834,0.115,1.435,0.094,1.886,0.201,0.422,1.256,14.986,2.79,1.333,2.453,1.837,1.997,1.873,2.152,0.166
"8","CRI",0.028,0.007,0.018,0.212,0.07,0.085,6.063,0.008,0.133,0.002,0.008,0.039,0.129,0.009,0.006,0.001,0.028,0.012,0.047,0.148,0.139,0.001,0.002,0.004,0.327,0.054,0.003,0.012,0.023,0.007,0.003,0.001,0.08,0.026,0.011,0.06,0.04,1.505,0.043,0.126,0.001,0.004,0.001,1.688,0.001,0,0.04,0.315,0.043,0.014,0.003,0.043,0.001,0.004,0.022,0.01,0.004,0.214,0.028,0.073,0.052,0.083,0.058,0.002,0.059,0.002
"9","EST",0.017,0.02,0.032,0.024,0.007,0.002,0.001,0.043,0.037,9.535,0.202,0.061,0.201,0.016,0.016,0.004,0.016,0.004,0.067,0.067,0.05,0.108,0.088,0.003,0.01,0.062,0.002,0.036,0.235,0.011,0.015,0.004,0.048,0.071,0.01,0.066,0.06,0.114,0.004,0.021,0,0.011,0.002,0.746,0.002,0.003,0.009,0.11,0.026,0.036,0.002,0.039,0.001,0.004,0.002,0.005,0.012,1.231,0.018,0.02,0.04,0.043,0.044,0.002,0.027,0.001
"10","CZE",0.122,0.491,0.242,0.174,0.037,0.022,0.005,61.418,0.09,0.021,0.078,0.504,4.507,0.11,0.349,0.009,0.127,0.024,0.6,0.389,0.648,0.018,0.024,0.021,0.104,0.455,0.007,0.081,2.921,0.061,1.092,0.053,0.366,0.093,0.079,0.434,0.309,0.89,0.031,0.156,0.002,0.171,0.012,5.723,0.058,0.008,0.035,0.74,0.141,0.41,0.01,0.2,0.006,0.034,0.013,0.04,0.229,3.44,0.094,0.126,0.369,0.285,0.215,0.043,0.203,0.015
