"","VAR","COU","PAR","IND","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue"
"1","FD_CO2","AUS","WLD","DTOTAL","P1Y","TONNE","6","2018",412.864
"2","FD_CO2","AUS","WLD","D01T03","P1Y","TONNE","6","2018",10.05
"3","FD_CO2","AUS","WLD","D01T02","P1Y","TONNE","6","2018",8.957
"4","FD_CO2","AUS","WLD","D03","P1Y","TONNE","6","2018",1.093
"5","FD_CO2","AUS","WLD","D05T09","P1Y","TONNE","6","2018",14.754
"6","FD_CO2","AUS","WLD","D05T06","P1Y","TONNE","6","2018",10.829
"7","FD_CO2","AUS","WLD","D07T08","P1Y","TONNE","6","2018",3.367
"8","FD_CO2","AUS","WLD","D09","P1Y","TONNE","6","2018",0.558
"9","FD_CO2","AUS","WLD","D10T33","P1Y","TONNE","6","2018",77.681
"10","FD_CO2","AUS","WLD","D10T12","P1Y","TONNE","6","2018",3.35
"11","FD_CO2","AUS","WLD","D13T15","P1Y","TONNE","6","2018",0.996
"12","FD_CO2","AUS","WLD","D16T18","P1Y","TONNE","6","2018",1.811
"13","FD_CO2","AUS","WLD","D16","P1Y","TONNE","6","2018",0.363
"14","FD_CO2","AUS","WLD","D17T18","P1Y","TONNE","6","2018",1.448
"15","FD_CO2","AUS","WLD","D19T23","P1Y","TONNE","6","2018",39.079
"16","FD_CO2","AUS","WLD","D19","P1Y","TONNE","6","2018",16.196
"17","FD_CO2","AUS","WLD","D20T21","P1Y","TONNE","6","2018",9.245
"18","FD_CO2","AUS","WLD","D20","P1Y","TONNE","6","2018",7.215
"19","FD_CO2","AUS","WLD","D21","P1Y","TONNE","6","2018",2.03
"20","FD_CO2","AUS","WLD","D22","P1Y","TONNE","6","2018",5.233
"21","FD_CO2","AUS","WLD","D23","P1Y","TONNE","6","2018",8.404
"22","FD_CO2","AUS","WLD","D24T25","P1Y","TONNE","6","2018",27.52
"23","FD_CO2","AUS","WLD","D24","P1Y","TONNE","6","2018",26.837
"24","FD_CO2","AUS","WLD","D25","P1Y","TONNE","6","2018",0.682
"25","FD_CO2","AUS","WLD","D26T27","P1Y","TONNE","6","2018",0.96
"26","FD_CO2","AUS","WLD","D26","P1Y","TONNE","6","2018",0.677
"27","FD_CO2","AUS","WLD","D27","P1Y","TONNE","6","2018",0.283
